@relation 'TimeRaptors4CSC523.py F20172018_Date_WS_Temp_Vis_Total_Num_Rnd.arff F20172018_Deltas_WS_Temp_Vis_Total_Num.arff'
% ARFF file generated @ 2020-11-08 18:16:32.160156
@attribute datetime string
@attribute WindSpdKmh numeric
@attribute Temp numeric
@attribute Visibility numeric
@attribute TOTAL numeric
@data
'2017-08-16 07:00:00',0,21,1,0
'2017-12-12 09:00:00',3,2,3,0
'2017-12-03 07:30:00',8.5,2,2.9,0
'2017-08-18 11:00:00',8.5,26,3,1
'2018-11-08 07:00:00',3,4,50,3
'2017-08-22 05:00:00',3,20,3,0
'2017-08-21 13:00:00',3,26,5,2
'2017-08-24 09:00:00',3,18,35,10
'2018-08-04 12:00:00',3,0,?,0
'2017-08-29 06:00:00',8.5,14,13,0
'2017-11-28 08:00:00',8.5,1,25,0
'2018-08-31 06:00:00',15.5,20,12,0
'2018-12-01 12:00:00',8.5,1,9,0
'2018-10-03 15:00:00',3,18,33,12
'2017-09-29 07:00:00',3,10,33,0
'2018-10-24 08:00:00',15.5,4,33,65
'2017-12-07 07:00:00',3,-2,20,0
'2017-10-06 06:00:00',3,17,7,0
'2017-09-14 08:00:00',3,18,1,3
'2017-11-27 13:00:00',3,5,33,1
'2018-09-24 09:00:00',15.5,13,30,113
'2018-11-07 13:00:00',15.5,11,33,5
'2018-08-28 08:00:00',3,25,10,0
'2018-10-28 06:00:00',8.5,5,?,0
'2017-11-15 14:00:00',3,7,5,2
'2018-08-24 14:00:00',3,28,18,2
'2017-11-24 10:00:00',3,2.7,70,1
'2017-11-12 07:00:00',8.5,-2,33,0
'2017-11-17 16:00:00',15.5,3,77,1
'2017-10-02 11:00:00',3,16,40,9
'2017-09-22 09:00:00',3,20,9,17
'2017-09-03 07:00:00',0,13,?,0
'2017-10-25 14:00:00',0,14,25,17
'2017-08-29 10:00:00',8.5,13,2,0
'2018-09-04 14:00:00',3,29,45,2
'2018-08-19 08:00:00',8.5,17,13,0
'2018-10-10 16:00:00',3,22,10,6
'2018-10-23 07:00:00',8.5,4,15,2
'2018-08-15 16:00:00',3,29,?,1
'2017-09-12 10:00:00',?,0,?,21
'2018-09-03 12:00:00',3,31,15,1
'2017-09-11 12:00:00',0,22,40,11
'2018-12-11 13:00:00',0,-3,10,1
'2017-11-19 09:00:00',24,8,?,11
'2018-10-07 09:00:00',8.5,20,4,4
'2017-12-10 13:00:00',8.5,-1,25,1
'2018-10-31 09:00:00',8.5,7,9,10
'2017-11-28 12:00:00',3,4,25,7
'2017-09-17 15:00:00',0,23,50,78
'2018-11-09 08:00:00',15.5,2,77,2
'2018-09-26 06:45:00',8.5,0,2,0
'2017-10-14 09:00:00',0,14.8,3,1
'2017-09-09 08:00:00',8.5,12,42,10
'2017-09-25 17:00:00',0,0,0,0
'2017-10-22 11:00:00',3,21,77,36
'2017-08-24 15:00:00',15.5,23,?,5
'2017-09-16 09:00:00',3,26,5,1051
'2017-08-25 08:00:00',8.5,15,33,2
'2018-10-22 10:00:00',3,5,50,32
'2017-11-22 07:00:00',0,6,3,0
'2018-09-11 15:00:00',3,22,7,0
'2018-08-30 16:00:00',8.5,28,33,1
'2018-09-12 14:00:00',3,20,0,0
'2018-10-01 10:00:00',3,18,?,3
'2017-11-15 13:00:00',0,8,5,1
'2018-08-04 11:00:00',3,0,?,1
'2017-09-04 15:00:00',3,26,12,2
'2018-11-18 14:00:00',3,1,33,1
'2018-09-18 16:00:00',15.5,24,45,153
'2018-08-25 12:00:00',3,22,15,2
'2017-09-30 16:00:00',24,12,50,8
'2017-10-28 16:00:00',8.5,14.1,50,5
'2017-08-19 14:00:00',3,27,65,3
'2018-10-26 07:00:00',0,3,35,0
'2018-11-26 08:00:00',15.5,2,?,0
'2017-11-26 08:00:00',15.5,4,77,6
'2017-11-23 14:00:00',3,0,30,3
'2017-09-25 06:00:00',0,0,0,3
'2017-09-04 16:00:00',3,24,15,3
'2018-09-05 11:00:00',3,31,30,6
'2018-09-13 16:00:00',8.5,21,9,1
'2017-11-21 08:00:00',0,2,15,1
'2017-10-26 16:00:00',8.5,8,18,2
'2017-12-14 15:00:00',15.5,-6,77,9
'2018-11-20 11:00:00',8.5,4,20,5
'2017-12-03 12:00:00',0,4,6,0
'2018-11-08 09:00:00',3,5,45,19
'2018-10-02 13:00:00',3,22,1,4
